GMIFC,TYPE,PRODTYP,PROMPT,DESC,LONGDESC,SPANCOMM,CFTCFC,Concat,Category
EJ,O, , ,CME MICROSPW3 ,CME MICRO E-MINI S&P 500 WEEK3 OPTION   ,EX3       ,EX3  ,16/EJ/O,Micro
EK,O, , ,CME MICROSPW4 ,CME MICRO E-MINI S&P 500 WEEK4 OPTION   ,EX4       ,EX4  ,16/EK/O,Micro
MQ,O, , ,CME MCRO NSDQ ,CME MICRO E-MINI NASDAQ 100 INDEX OPTION,MNQ       ,MNQ  ,16/MQ/O,Micro
MS,O, , ,CME MICRO S&P ,CME MICRO E-MINI S&P500 QUARTERLY OPTION,MES       ,MES  ,16/MS/O,Micro
MC, , , ,CME MSPSC600 F,CME MICRO EMINI S&P SMALLCAP 600 INDEX F,MSC       ,MSC  ,16/MC/,Micro
MM, , , ,CME MSPMC400 F,CME MICRO EMINI S&P MIDCAP 400 INDEX FUT,MMC       ,MMC  ,16/MM/,Micro
YF, , ,Y,EUX FSMS FUT  ,EUREX MICRO FUTURE ON SMI FUTURE        ,FSMS      ,     ,27/YF/,Micro
YG, , ,Y,EURX FSXE FUT ,EUREX MICRO FUTURE ON EURO STOXX FUTURE ,FSXE      ,     ,27/YG/,Micro
YH, , ,Y,EUX MICRODAX F,EUREX MICRO FUTURE ON DAX FUTURE        ,FDXS      ,     ,27/YH/,Micro
*G, , , ,CME MIC JY/US ,CME E-MICRO JPY/USD FUTURES             ,MJY       ,MJY  ,9C/*G/,Micro
*H, , , ,CME MIC CD/US ,CME E-MICRO CAD/USD FUTURES             ,MCD       ,MCD  ,9C/*H/,Micro
*I, , , ,CME MIC CH/US ,CME E-MICRO CHF/USD FUTURES             ,MSF       ,MSF  ,9C/*I/,Micro
C?, ,9, ,IMM MCR US/RM ,IMM E-MICRO USD/RMB                     ,MNY       ,MNY  ,9C/C?/,Micro
MA, , , ,IMM MI AUD/USD,IMM E-MICRO AUD/USD FUTURE              ,M6A       ,M6A  ,9C/MA/,Micro
MB, , , ,IMM MI GBP/USD,IMM E-MICRO GBP/USD FUTURE              ,M6B       ,M6B  ,9C/MB/,Micro
MC, , , ,IMM MI USD/CAD,IMM E-MICRO USD/CAD FUTURE              ,M6C       ,M6C  ,9C/MC/,Micro
ME, , , ,IMM MI EUR/USD,IMM E-MICRO EUR/USD FUTURE              ,M6E       ,M6E  ,9C/ME/,Micro
MJ, , , ,IMM MI USD/JPY,IMM E-MICRO USD/JPY FUTURE              ,M6J       ,M6J  ,9C/MJ/,Micro
MR, , , ,IMM M INR/USD ,IMM E-MICRO INR/USD FUTURES             ,MIR       ,MIR  ,9C/MR/,Micro
MS, , , ,IMM MI USD/CHF,IMM E-MICRO USD/CHF FUTURE              ,M6S       ,M6S  ,9C/MS/,Micro
C#, , , ,CME MBT FUTURE,CME MICRO BITCOIN FUTURES               ,MBT       ,MBT  ,9C/C#/,Micro
ET, , , ,CME MICRO ETH ,CME MICRO ETHER FUTURES                 ,MET       ,MET  ,9C/ET/,Micro
C#,O, , ,CME MBT OPT   ,CME MICRO BITCOIN OPTION                ,WM        ,WM   ,9C/C#/O,Micro
DB,O, , ,CME MBTMONW1O ,CME MICRO BITCOIN MONDAY WEEK1 OPTION   ,W1A       ,W1A  ,9C/DB/O,Micro
DD,O, , ,CME MBTMONW2O ,CME MICRO BITCOIN MONDAY WEEK2 OPTION   ,W2A       ,W2A  ,9C/DD/O,Micro
DP,O, , ,CME MBTMONW3O ,CME MICRO BITCOIN MONDAY WEEK3 OPTION   ,W3A       ,W3A  ,9C/DP/O,Micro
DQ,O, , ,CME MBTMONW4O ,CME MICRO BITCOIN MONDAY WEEK4 OPTION   ,W4A       ,W4A  ,9C/DQ/O,Micro
DR,O, , ,CME MBTMONW5O ,CME MICRO BITCOIN MONDAY WEEK5 OPTION   ,W5A       ,W5A  ,9C/DR/O,Micro
DS,O, , ,CME MBTWEDW1O ,CME MICRO BITCOIN WEDNESDAY WEEK1 OPTION,W1C       ,W1C  ,9C/DS/O,Micro
DV,O, , ,CME MBTWEDW2O ,CME MICRO BITCOIN WEDNESDAY WEEK2 OPTION,W2C       ,W2C  ,9C/DV/O,Micro
